Card,Set ID,Set Name,Quantity,Foil
"Temur Battle Rage","FRF","Fate Reforged","1",""
"Elvish Aberration","A25","Masters 25","1",""
"Executioner's Capsule","C16","Commander 2016","1",""
"Vedalken Infuser","2XM","Double Masters","1",""
"Chatter of the Squirrel","2XM","Double Masters","1",""
"Myr Retriever","C16","Commander 2016","1",""
"Metallic Rebuke","2XM","Double Masters","1",""
"Crusader of Odric","2XM","Double Masters","1",""
"Gelatinous Genesis","ROE","Rise of the Eldrazi","1",""
"Sphinx of the Guildpact","RNA","Ravnica Allegiance","1",""
"Flickerwisp","CMA","Commander Anthology","1",""
"Vexing Shusher","PLPA","Launch Parties","1","Foil"
"Maze of Ith","EMA","Eternal Masters","1",""
"Weapon Surge","DGM","Dragon's Maze","1",""
"Bloodbriar","EMN","Eldritch Moon","1",""
