Card,Set ID,Set Name,Quantity,Foil
"Silumgar Scavenger","MH1","Modern Horizons","1",""
"Thelonite Hermit","C16","Commander 2016","1",""
"Kozilek's Predator","MM2","Modern Masters 2015","1",""
"Glaze Fiend","2XM","Double Masters","1",""
"Urza's Power Plant","2XM","Double Masters","1",""
"Steel Sabotage","2XM","Double Masters","1",""
"Iron League Steed","2XM","Double Masters","1",""
"Angel of the Dawn","2XM","Double Masters","1",""
"Ravenous Intruder","2XM","Double Masters","1",""
"Fatal Push","2XM","Double Masters","1",""
"Clone Shell","2XM","Double Masters","1",""
"Cragganwick Cremator","SHM","Shadowmoor","1",""
"Council's Judgment","CNS","Conspiracy","1",""
"Argivian Restoration","DDF","Duel Decks: Elspeth vs. Tezzeret","1",""
"Urza's Mine","2XM","Double Masters","1",""
