Card,Set ID,Set Name,Quantity,Foil
"Abrade","HOU","Hour of Devastation","1",""
"Twisted Abomination","A25","Masters 25","1",""
"Death-Hood Cobra","NPH","New Phyrexia","1",""
"Sanctum Gargoyle","C16","Commander 2016","1",""
"Myr Retriever","C16","Commander 2016","1",""
"Urza's Mine","2XM","Double Masters","1",""
"Metallic Rebuke","2XM","Double Masters","1",""
"Ovalchase Daredevil","2XM","Double Masters","1",""
"Brimstone Volley","ISD","Innistrad","1",""
"Golem Artisan","2XM","Double Masters","1",""
"Sunforger","C16","Commander 2016","1",""
"Hanna, Ship's Navigator","2XM","Double Masters","1",""
"Disciple of the Vault","2XM","Double Masters","1",""
"Thirst for Knowledge","2XM","Double Masters","1",""
